gene	scaffold	start	end	exonLen	CDSlen	nonCDSLen	eExp	kExp	eRPK	kRPK	eTPM	kTPM	eSyn#	eSyns	eMis#	eMiss	kSyn#	kSyns	kMis#	kMiss	eSynFix	eMisFix	kSynFix	kMisFix	epN/pS	kpN/pS
CEP164	NW_008794084.1	1346258	1386445	4449	4191	35996	1640	1569	391.314722023383	374.373657838225	7.56263068359462	7.86276552146837	24	105	25	121	11	91	25	176	0	0	2	0	1.04166666666667	2.27272727272727
CEP170	NW_008794117.1	1679065	1763395	5327	4948	79382	4304	2597	869.846402586904	524.858528698464	16.8108346657733	11.0233170969582	4	9	7	26	5	9	6	33	2	1	0	0	1.75	1.2
CEP170B	NW_008795405.1	19016484	19077131	8859	4896	55751	10421	5552	2128.47222222222	1133.98692810458	41.1353021775519	23.8165082756688	18	109	10	23	14	107	13	78	2	0	1	1	0.555555555555556	0.928571428571429
CEP19	NW_008795924.1	2157035	2161133	1729	550	3548	895	1961	1627.27272727273	3565.45454545455	31.4490152433213	74.8832950219936	0	0	0	0	1	1	1	11	1	0	1	0		1
CEP192	NW_008795863.1	2019247	2098078	7993	7604	71227	1289	1500	169.51604418727	197.264597580221	3.27610275050071	4.1430406332978	21	239	18	104	20	119	36	139	0	0	0	0	0.857142857142857	1.8
CEP290	NW_008795909.1	7347	62021	7947	7343	47331	905	656	123.246629443007	89.3367833310636	2.38189030214816	1.87629168096521	6	12	6	9	4	50	9	119	1	6	3	4	1	2.25
CEP295	NW_008794171.1	2038109	2086156	6396	5638	42409	982	719	174.175239446612	127.527492018446	3.36614733877219	2.67839028277804	13	74	31	286	21	229	22	89	0	0	0	0	2.38461538461538	1.04761904761905
CEP350	NW_008795025.1	3247854	3314908	11359	9523	57531	4747	3008	498.477370576499	315.866848682138	9.63367858563249	6.63397895443273	10	100	11	27	11	50	19	114	3	3	0	2	1.1	1.72727272727273
CEP41	NW_008795680.1	619256	632351	1139	1102	11993	207	190	187.840290381125	172.413793103448	3.63024098941704	3.62111275581569	8	71	3	7	3	10	1	3	0	0	0	0	0.375	0.333333333333333
CEP44	NW_008794543.1	5203028	5214871	1285	1118	10725	291	524	260.286225402504	468.694096601073	5.03034637840275	9.84372619631042	4	46	5	9	1	1	1	1	0	0	0	0	1.25	1
CEP55	NW_008795129.1	8592538	8608264	1390	1390	14336	220	109	158.273381294964	78.4172661870504	3.05882468103523	1.64695502462351	4	7	6	19	1	1	7	47	0	0	0	0	1.5	7
CEP57	NW_008794171.1	1299175	1320384	1730	1590	19619	1011	954	635.849056603774	600	12.2885527044368	12.6014723902386	4	30	5	20	2	18	3	25	0	0	0	0	1.25	1.5
CEP57L1	NW_008796222.1	8548924	8559747	1409	1409	9414	97	72	68.8431511710433	51.1000709723208	1.33047722996316	1.07322688916156	3	4	4	15	3	46	5	22	0	0	0	0	1.33333333333333	1.66666666666667
CEP63	NW_008795924.1	748096	768924	2452	2134	18694	988	911	462.980318650422	426.897844423618	8.94765508852199	8.96590233326099	1	2	1	3	1	2	3	10	1	0	2	0	1	3
CEP68	NW_008794078.1	1635878	1645357	2616	2284	7195	1396	1337	611.208406304729	585.3765323993	11.812342310277	12.2943436848723	15	107	18	55	14	82	19	121	0	1	0	0	1.2	1.35714285714286
CEP70	NW_008794520.1	2156805	2163893	1164	1041	6047	99	141	95.1008645533141	135.446685878963	1.83793932563644	2.84471278742178	2	6	2	2	1	1	2	3	0	0	0	0	1	2
CEP76	NW_008795863.1	2196200	2222557	2168	1959	24398	591	651	301.684532924962	332.312404287902	5.83041878329304	6.97937597927967	2	18	2	9	4	33	4	30	0	0	0	0	1	1
CEP85	NW_008795030.1	1274045	1287324	4556	2342	10937	3498	4193	1493.5952177626	1790.35012809564	28.865535557455	37.6017461800957	7	40	8	29	2	43	6	16	0	0	0	1	1.14285714285714	3
CEP85L	NW_008796222.1	3588931	3794260	6944	2641	202688	1200	1742	454.373343430519	659.59863687997	8.78131487378535	13.8531900188033	3	57	6	7	3	6	5	6	1	1	0	0	2	1.66666666666667
CEP89	NW_008794950.1	90654	138742	3084	2381	45707	1276	1111	535.909281814364	466.610667786644	10.3570955810609	9.79996907850699	1	1	5	12	7	81	9	41	0	0	0	1	5	1.28571428571429
CEP95	NW_008796178.1	1675716	1693134	3278	2715	14703	1063	1391	391.528545119705	512.338858195212	7.56676307376063	10.7603732933222	8	73	10	96	6	29	10	79	1	1	0	0	1.25	1.66666666666667
CEP97	NW_008794443.1	7374686	7391405	4581	2527	14192	1343	841	531.460229521171	332.805698456668	10.2711122599851	6.98973636735963	8	33	11	85	6	21	6	12	0	0	0	0	1.375	1
CEPT1	NW_008795522.1	210571	243008	2317	1384	31053	2935	2837	2120.66473988439	2049.85549132948	40.9844131305353	43.0519956299457	5	14	1	3	2	9	3	3	0	0	0	0	0.2	1.5
CERCAM	NW_008796111.1	864279	869950	1755	1322	4349	1214	751	918.305597579425	568.078668683812	17.7473672681189	11.9310460981709	5	32	5	13	2	7	1	3	0	0	0	0	1	0.5
CERK	NW_008796221.1	1787444	1825068	4162	1501	36123	2732	1840	1820.1199200533	1225.84943371086	35.1760206823865	25.745846322495	2	14	4	44	8	33	2	38	0	0	0	0	2	0.25
CERKL	NW_008794003.1	1873986	1907244	1353	1341	31917	198	143	147.651006711409	106.636838180462	2.85353443398589	2.23963528685573	3	31	2	2	2	9	1	2	0	0	0	0	0.666666666666667	0.5
CERS1	NW_008795320.1	469989	474347	1413	792	3566	6857	4527	8657.82828282828	5715.90909090909	167.323011734524	120.048117657008	9	38	2	42	5	12	1	1	0	0	0	0	0.222222222222222	0.2
CERS2	NW_008795479.1	103258	108330	1204	999	4073	3492	2641	3495.4954954955	2643.64364364364	67.5546816943457	55.5230039750086	0	0	0	0	3	27	2	3	0	0	0	0		0.666666666666667
CERS3	NW_008794427.1	383037	431345	1158	1141	47167	3405	1615	2984.22436459246	1415.42506573181	57.6737482037515	29.7273998104519	2	12	0	0	2	45	0	0	0	0	0	0	0	0
CERS5	NW_008794786.1	386375	402543	2178	1057	15111	2116	1552	2001.89214758751	1468.30652790918	38.6889890119896	30.8380402864243	1	11	1	1	2	2	1	1	0	0	0	0	1	0.5
CERS6	NW_008794888.1	91066	201958	1108	1108	109784	613	315	553.249097472924	284.296028880866	10.6922085082445	5.97091426432786	0	0	1	5	3	6	1	3	0	0	1	0		0.333333333333333
CETP	NW_008794457.1	513231	522398	1521	1502	7665	1422	1182	946.737683089214	786.950732356858	18.2968517372008	16.5278965437883	4	56	3	22	5	35	3	11	0	0	0	0	0.75	0.6
CFAP100	NW_008795909.1	9756330	9768820	1717	1717	10773	12	23	6.9889341875364	13.3954571927781	0.135069613172202	0.281337473282361	10	109	12	80	5	13	11	73	0	0	1	1	1.2	2.2
CFAP161	NW_008795035.1	5074682	5147227	1118	1118	71427	48	34	42.9338103756708	30.4114490161002	0.829747856231382	0.638715058539225	7	123	3	5	2	19	7	88	0	0	0	0	0.428571428571429	3.5
CFAP20	NW_008794457.1	189768	197072	1102	622	6682	5432	5224	8733.11897106109	8398.71382636656	168.778095422851	176.393600660789	2	3	1	2	0	0	0	0	0	0	0	0	0.5	
CFAP206	NW_008795523.1	3579122	3595467	1854	1854	14491	805	588	434.196332254585	317.152103559871	8.39136970884665	6.66097246085967	7	43	7	29	3	4	12	29	1	0	0	0	1	4
CFAP221	NW_008794520.1	2072571	2096046	2586	2586	20889	375	259	145.011600928074	100.15467904099	2.80252472226256	2.10349403781374	6	32	23	141	4	40	5	45	0	0	0	0	3.83333333333333	1.25
CFAP36	NW_008796214.1	2402705	2424510	1571	1180	20625	1640	1793	1389.83050847458	1519.49152542373	26.8601569448687	31.9130508413811	5	35	5	7	7	46	8	29	0	0	0	2	1	1.14285714285714
CFAP43	NW_008795129.1	13561614	13612032	5073	5073	45345	138	173	27.2028385570668	34.1021092055983	0.525727783735801	0.716227979338747	8	80	10	87	6	58	14	113	0	0	4	2	1.25	2.33333333333333
CFAP44	NW_008794443.1	4854300	4908293	5630	5630	48363	163	88	28.9520426287744	15.6305506216696	0.559533269806356	0.328279920171994	15	130	32	118	9	73	23	142	0	1	1	1	2.13333333333333	2.55555555555556
CFAP45	NW_008795479.1	806290	814784	1517	1517	6977	1001	869	659.854976928148	572.841133816744	12.7524961735052	12.0310695529745	0	0	4	4	1	1	1	3	0	0	0	0		1
CFAP46	NW_008795129.1	28081244	28178511	8206	8206	89061	639	1091	77.8698513282964	132.951498903242	1.50492913718471	2.79230773778339	15	134	29	173	15	50	29	191	1	1	0	0	1.93333333333333	1.93333333333333
CFAP47	NW_008795695.1	17062639	17445223	9367	9367	373217	392	206	41.8490445179887	21.9920999252696	0.808783442939176	0.461888066686088	36	141	43	327	13	107	31	200	1	2	0	1	1.19444444444444	2.38461538461538
CFAP52	NW_008793959.1	129983	151659	1946	1830	19846	283	207	154.644808743169	113.114754098361	2.98869812414016	2.37568741783187	5	13	6	19	7	126	4	9	0	0	0	0	1.2	0.571428571428571
CFAP53	NW_008794713.1	279317	319905	1642	1642	38946	302	505	183.922046285018	307.551766138855	3.55451617928515	6.4593418159465	7	55	8	19	3	3	9	42	1	0	1	1	1.14285714285714	3
CFAP54	NW_008796109.1	942063	1104770	9518	9518	153189	197	109	20.6976255515865	11.4519857112839	0.400006667943933	0.240519802923585	13	129	26	77	12	105	13	109	0	0	0	1	2	1.08333333333333
CFAP57	NW_008796165.1	2631395	2654322	3267	3267	19660	217	165	66.421793694521	50.5050505050505	1.28368156571313	1.06072999917833	7	28	14	88	8	74	10	40	0	0	0	1	2	1.25
CFAP58	NW_008795129.1	13668022	13726917	2613	2613	56282	73	57	27.9372368924608	21.8140068886338	0.539920920545254	0.458147675879322	5	14	6	28	3	17	7	10	0	0	0	0	1.2	2.33333333333333
CFAP61	NW_008796214.1	409411	518836	3614	3614	105811	191	129	52.8500276701716	35.6945213060321	1.02139075887715	0.749672541201245	13	151	12	65	8	80	17	169	0	0	1	1	0.923076923076923	2.125
CFAP65	NW_008794888.1	4232008	4265573	5284	5284	28281	264	119	49.9621498864497	22.5208175624527	0.965579024974785	0.472992434531414	20	142	25	99	8	32	6	28	0	0	0	0	1.25	0.75
CFAP69	NW_008795018.1	11044700	11074615	2785	2785	27130	153	134	54.9371633752244	48.1149012567325	1.06172718282318	1.01053099957629	5	79	11	16	4	34	8	47	0	0	1	0	2.2	2
CFAP70	NW_008794125.1	1581079	1607332	3279	3279	22974	314	765	95.7609027142422	233.302836230558	1.85069536206249	4.89993208220623	15	45	16	51	9	20	7	21	0	0	0	0	1.06666666666667	0.777777777777778
CFAP73	NW_008796167.1	197990	201270	995	992	2288	56	29	56.4516129032258	29.2338709677419	1.09099575316982	0.61398302976633	8	73	16	68	5	36	11	55	0	0	1	0	2	2.2
CFAP74	NW_008794753.1	2654864	2704197	5533	5071	44262	557	348	109.840268191678	68.6255176493788	2.12279614277075	1.4413042765408	8	45	21	117	4	47	8	97	0	0	1	2	2.625	2
CFAP77	NW_008796111.1	2891241	2916785	644	644	24900	159	195	246.894409937888	302.795031055901	4.77153333396101	6.35943870625395	5	38	5	26	2	6	2	10	0	0	0	0	1	1
CFAP97	NW_008795127.1	1976629	2019637	3387	1471	41537	4870	3211	3310.67301155676	2182.86879673691	63.9827634674365	45.8456014559893	4	16	2	2	3	23	6	30	0	0	0	0	0.5	2
CFAP99	NW_008795948.1	2733750	2796418	1965	1965	60703	325	314	165.394402035623	159.796437659033	3.19644702673529	3.35611732869798	3	47	3	34	4	27	3	27	0	0	0	0	1	0.75
CFD	NW_008795320.1	1921857	1924272	860	789	1626	5684	10830	7204.05576679341	13726.2357414449	139.227098092729	288.28463452954	6	19	2	6	3	6	2	3	0	0	0	1	0.333333333333333	0.666666666666667
CFDP1	NW_008795037.1	7760222	7830976	1422	735	70019	3492	3233	4751.02040816327	4398.63945578231	91.8192204253759	92.3822227610916	0	0	1	2	1	2	1	1	0	0	0	0		1
CFH	NW_008795702.1	261485	298275	4199	3727	33063	17592	13156	4720.1502548967	3529.91682318218	91.2226173456506	74.1369156452818	1	2	3	86	1	2	2	2	1	1	0	0	3	2
CFI	NW_008794665.1	8599008	8614058	2002	1773	13277	5075	2093	2862.38014664411	1180.4850535815	55.3189612013351	24.7930830163277	3	39	2	3	4	5	7	93	0	2	0	1	0.666666666666667	1.75
CFL2	NW_008794448.1	6029305	6033459	3961	447	3707	12144	18468	27167.7852348993	41315.4362416107	525.050335853403	867.725548482202	1	1	0	0	1	1	0	0	0	0	0	0	0	0
CFLAR	NW_008795918.1	1581777	1604894	4921	1461	21656	1863	1355	1275.15400410678	927.446954140999	24.6438946838044	19.4786619766978	1	2	1	1	2	57	0	0	0	0	0	0	1	0
CFTR	NW_008796110.1	6414680	6549307	4418	4418	130209	65	162	14.7125396106836	36.6681756450883	0.284337637280889	0.770121671653332	11	81	2	3	11	94	6	74	0	0	0	0	0.181818181818182	0.545454545454545
CGA	NW_008795523.1	3734141	3743635	782	360	9134	0	6	0	16.6666666666667	0	0.35004089972885	0	0	0	0	1	1	0	0	0	0	0	0		0
CGGBP1	NW_008794854.1	3471051	3474537	3486	503	2983	3197	1790	6355.8648111332	3558.64811133201	122.834781152402	74.7403432025417	3	12	0	0	1	1	0	0	0	0	0	0	0	0
CGN	NW_008795479.1	437827	449948	3754	3754	8367	1885	1651	502.131060202451	439.797549280767	9.70429056038948	9.23682779092698	13	281	4	5	13	82	22	46	0	0	4	0	0.307692307692308	1.69230769230769
CGNL1	NW_008795371.1	2410632	2465726	5989	3864	51230	2859	3740	739.906832298137	967.908902691512	14.2995951800781	20.328462189222	3	4	4	7	4	50	7	19	1	0	2	1	1.33333333333333	1.75
CGRRF1	NW_008794444.1	1928178	1941350	2184	1028	12144	2087	1645	2030.15564202335	1600.19455252918	39.2352152544903	33.6080124545112	4	10	2	8	4	11	0	0	0	1	0	1	0.5	0
CH25H	NW_008795129.1	7335749	7337142	1393	824	569	174	112	211.165048543689	135.922330097087	4.081020175172	2.85470248322557	4	23	2	3	4	10	0	0	0	0	0	0	0.5	0
CHAC1	NW_008795128.1	5436060	5439891	1983	597	3234	2899	16783	4855.94639865997	28112.2278056951	93.8470422030332	590.425770869275	1	1	1	6	2	4	1	1	0	0	0	0	1	0.5
CHAC2	NW_008796214.1	1625025	1639099	4067	491	13583	1536	1806	3128.30957230143	3678.20773930754	60.4583692556699	77.2513887874098	0	0	0	0	0	0	1	2	0	0	0	0		
CHAD	NW_008795318.1	817836	826005	2151	1083	7086	996	690	919.667590027701	637.119113573407	17.7736894208529	13.381064864981	4	45	0	0	3	6	1	1	0	0	0	0	0	0.333333333333333
CHADL	NW_008794445.1	3468678	3472040	2206	2206	1156	14	1	6.34632819582956	0.453309156844968	0.122650474517732	0.00952060470704035	9	51	7	31	11	43	8	19	1	0	0	0	0.777777777777778	0.727272727272727
CHAF1A	NW_008795862.1	1313723	1329389	3324	2753	12913	1997	2145	725.390483109335	779.150018162005	14.0190491601856	16.3640624028707	11	52	11	38	3	4	4	8	0	0	0	0	1	1.33333333333333
CHAF1B	NW_008795695.1	9282065	9303678	4070	1697	19916	2083	1878	1227.46022392457	1106.65880966411	23.722154649191	23.2425507256611	3	13	3	16	1	1	1	1	0	0	0	0	1	1
CHAMP1	NW_008795029.1	3987903	3991662	3759	2771	988	3349	2873	1208.58895705521	1036.80981595092	23.3574445735604	21.7755504493898	5	51	4	13	3	3	5	9	0	0	1	0	0.8	1.66666666666667
CHAT	NW_008795694.1	102463	133723	2209	1909	29351	23	89	12.0481927710843	46.6212676794133	0.232845909454489	0.979161029100084	1	2	5	30	1	3	2	10	0	0	0	0	5	2
CHCHD1	NW_008795129.1	3238510	3241483	931	267	2706	1939	2003	7262.17228464419	7501.87265917603	140.350270149352	157.557735316154	1	2	2	6	2	10	2	6	0	0	0	0	2	1
CHCHD2	NW_008794371.1	1462160	1464707	870	467	2080	27935	27605	59817.9871520343	59111.3490364026	1156.05501047265	1241.48338805331	1	1	0	0	0	0	0	0	1	0	0	0	0	
CHCHD3	NW_008794449.1	3202547	3367913	1492	712	164654	7014	10421	9851.12359550562	14636.2359550562	190.384888117759	307.396872141097	2	6	2	2	1	1	3	48	0	0	0	0	1	3
CHCHD4	NW_008795909.1	9612170	9620292	1266	400	7722	1138	972	2845	2430	54.9830688290358	51.0359631804663	1	12	1	8	0	0	0	0	0	0	0	0	1	
CHCHD6	NW_008795909.1	10730449	10839677	911	896	108332	2943	1783	3284.59821428571	1989.95535714286	63.4788364470297	41.7939458180719	4	7	7	49	2	7	4	22	0	0	0	0	1.75	2
CHCHD7	NW_008794414.1	2174445	2184487	7169	252	9790	2167	1774	8599.20634920635	7039.68253968254	166.190071906325	147.850608599757	0	0	0	0	0	0	2	3	0	0	0	0		
CHD1L	NW_008794088.1	2262043	2288263	5322	2459	23761	2937	2651	1194.38796258642	1078.0805205368	23.0829931653641	22.642336523331	7	62	12	62	5	29	8	35	0	0	1	0	1.71428571428571	1.6
CHD2	NW_008795035.1	8099714	8189362	10404	5455	84193	6774	7173	1241.79651695692	1314.94042163153	23.9992208659048	27.6169756966641	19	119	4	11	12	61	0	0	0	0	1	0	0.210526315789474	0
CHD4	NW_008796114.1	1985750	2013537	7630	7353	20434	13251	10395	1802.12158302734	1413.70869033048	34.8281810326478	29.6913517150665	19	94	13	34	16	111	10	29	0	0	2	0	0.68421052631579	0.625
CHD5	NW_008794753.1	673881	706233	6712	5703	26649	13975	9407	2450.46466771874	1649.48272838857	47.3581959537083	34.64318509994	16	160	4	26	16	72	4	23	0	0	2	0	0.25	0.25
CHD6	NW_008795704.1	647113	697662	8549	8194	42355	4151	2984	506.590187942397	364.168904076153	9.79046860166994	7.64844065016516	17	154	5	25	19	142	8	10	1	0	2	0	0.294117647058824	0.421052631578947
CHD7	NW_008794414.1	258331	349619	10109	9002	82286	1705	1369	189.402355032215	152.077316151966	3.66042977965475	3.19399683445098	13	40	6	7	17	76	5	12	1	0	0	1	0.461538461538462	0.294117647058824
CHD9	NW_008795037.1	4179523	4277728	11549	8635	89570	3832	3045	443.775332947308	352.634626519977	8.57649549246752	7.40619251655598	20	112	8	15	19	184	6	14	1	0	2	0	0.4	0.315789473684211
CHDH	NW_008795909.1	14150280	14159687	1917	1826	7581	1989	1211	1089.26615553122	663.198247535597	21.0513869956809	13.9287906759574	3	6	3	5	2	4	5	9	0	0	0	0	1	2.5
CHEK2	NW_008795689.1	154280	174734	1629	1560	18894	367	311	235.25641025641	199.358974358974	4.54661490249564	4.18702768521817	3	5	0	0	0	0	0	0	0	0	0	0	0	
CHERP	NW_008795862.1	373894	387945	4306	2683	11368	3772	3287	1405.8889303019	1225.12113306001	27.170505385156	25.7305502215892	8	15	3	11	3	10	2	2	0	0	0	0	0.375	0.666666666666667
CHFR	NW_008794776.1	4154720	4180917	4779	2023	24174	2644	1609	1306.96984676223	795.353435491844	25.2587743557126	16.7043739297198	0	0	2	3	2	35	2	34	0	0	1	0		1
CHGA	NW_008795405.1	10794165	10808304	1532	1402	12737	13026	4869	9291.01283880171	3472.89586305278	179.560069738942	72.9393355540558	8	104	9	44	3	8	3	5	0	0	0	1	1.125	1
CHGB	NW_008795675.1	155454	168554	2545	1952	11148	13315	8118	6821.20901639344	4158.81147540984	131.828121211107	87.3452466393075	0	0	3	38	2	3	5	22	1	2	2	1		2.5
CHIC1	NW_008794630.1	1808324	1828021	2941	375	19322	767	624	2045.33333333333	1664	39.5285425114193	34.9480834289284	1	1	1	1	1	1	0	0	0	0	0	0	1	0
CHIC2	NW_008795127.1	7976173	8000241	618	378	23690	478	397	1264.55026455026	1050.26455026455	24.4389645812101	22.0581328876752	0	0	0	0	1	2	0	0	0	0	0	0		0
CHID1	NW_008795027.1	1931438	2068206	1393	1212	135556	1879	1544	1550.3300330033	1273.92739273927	29.9620045386087	26.755601444621	0	0	0	0	1	7	1	1	0	1	0	0		1
CHKA	NW_008795027.1	710598	736806	1727	1116	25092	1332	1529	1193.54838709677	1370.07168458781	23.0667673527334	28.7748675099684	0	0	0	0	0	0	0	0	1	0	0	0		
CHL1	NW_008795710.1	1531951	1592105	3856	3652	56502	12182	5795	3335.70646221249	1586.8017524644	64.4665652039679	33.3267307874373	17	137	8	15	16	107	7	14	0	0	0	0	0.470588235294118	0.4375
CHM	NW_008796193.1	3507535	3570849	3832	1911	61403	3584	3011	1875.45787545788	1575.61486132915	36.2454936563296	33.0917786211481	3	7	0	0	2	32	3	3	0	0	0	0	0	1.5
CHMP1A	NW_008794602.1	536980	539979	930	490	2509	1868	1483	3812.24489795918	3026.5306122449	73.676247317269	63.5645699140267	2	6	0	0	3	7	0	0	0	0	0	0	0	0
CHMP1B	NW_008796193.1	2309135	2322631	4373	709	12787	17787	16058	25087.4471086037	22648.8011283498	484.84528334522	475.680403484841	1	10	1	3	3	9	1	2	1	0	0	0	1	0.333333333333333
CHMP2A	NW_008796038.1	216421	221615	578	569	4625	3661	3544	6434.09490333919	6228.47100175747	124.346672380614	130.813175603414	2	5	0	0	0	0	0	0	0	0	0	0	0	
CHMP2B	NW_008794836.1	1142673	1153763	1850	708	10382	3497	2659	4939.26553672316	3755.64971751412	95.4572854026482	78.8778603711027	3	44	2	6	2	4	0	0	0	0	1	0	0.666666666666667	0
CHMP3	NW_008794416.1	785925	796161	1043	574	9662	4822	4407	8400.6968641115	7677.70034843206	162.353635814168	161.25054826882	1	6	1	1	3	26	0	0	0	0	0	0	1	0
CHMP4C	NW_008794544.1	574877	585755	1869	329	10549	2150	1617	6534.95440729483	4914.89361702128	126.295904383446	103.224827026423	2	5	0	0	0	0	2	3	0	0	0	0	0	
CHMP5	NW_008795364.1	5257158	5264373	1158	509	6706	5270	5256	10353.6345776031	10326.1296660118	200.09652112866	216.874063140452	1	2	1	1	1	1	0	0	0	0	0	0	1	0
CHMP6	NW_008795038.1	719166	729614	3474	759	9689	3963	2784	5221.34387351779	3667.98418972332	100.908790712722	77.0366691577169	4	15	7	19	3	13	2	3	0	0	0	0	1.75	0.666666666666667
CHMP7	NW_008794601.1	2244962	2253526	2840	1011	7553	8213	7751	8123.63996043521	7666.66666666667	156.999175777474	161.018813875271	4	12	0	0	6	34	0	0	0	0	0	0	0	0
CHN1	NW_008795194.1	2528108	2607992	2061	1215	78669	30435	21110	25049.3827160494	17374.4855967078	484.109642882743	364.906834235853	4	30	0	0	2	11	0	0	0	0	0	0	0	0
CHN2	NW_008796217.1	339143	366796	2853	1139	26514	2768	1908	2430.20193151888	1675.15364354697	46.9665940489132	35.1823373142746	6	88	2	4	4	8	3	3	0	0	1	1	0.333333333333333	0.75
CHODL	NW_008795695.1	977237	1003452	1357	902	25313	129	90	143.015521064302	99.7782705099778	2.76394806267097	2.09558853496207	3	12	1	1	1	1	1	1	0	0	0	0	0.333333333333333	1
CHORDC1	NW_008796056.1	1422624	1499599	5269	1194	75781	5743	4738	4809.88274706868	3968.17420435511	92.956806376685	83.3413961263966	4	14	3	3	1	1	1	1	0	0	0	0	0.75	1
CHP1	NW_008795128.1	5554340	5567459	992	522	12597	7694	5008	14739.4636015326	9593.86973180077	284.857975995126	201.494807568055	0	0	1	3	0	0	0	0	0	0	0	0		
CHPF	NW_008794888.1	3844622	3847272	1976	1836	814	1872	1370	1019.60784313725	746.187363834423	19.7051557883446	15.671765772174	6	44	2	4	6	9	3	4	3	0	0	1	0.333333333333333	0.5
CHPF2	NW_008795119.1	366813	370395	2182	1836	1746	2728	2253	1485.83877995643	1227.12418300654	28.7156330078013	25.7726191859183	1	26	1	3	4	4	2	2	0	0	0	0	1	0.5
CHPT1	NW_008796213.1	5471480	5495306	4653	1132	22694	1617	1890	1428.44522968198	1669.61130742049	27.6064331747318	35.0659346548159	0	0	4	9	3	3	2	5	0	0	0	0		0.666666666666667
CHRAC1	NW_008795932.1	1693969	1696917	1317	399	2549	978	900	2451.12781954887	2255.63909774436	47.3710121655607	47.3739563542805	0	0	1	1	2	6	0	0	0	0	0	0		0
CHRD	NW_008796193.1	8345301	8382849	3464	3464	34084	378	212	109.122401847575	61.2009237875289	2.10892250670472	1.2853695856094	7	62	7	42	4	22	6	98	0	0	2	1	1	1.5
CHRDL1	NW_008794118.1	1153936	1194688	1357	1357	39395	214	166	157.700810611643	122.328666175387	3.04775905949199	2.56920218223975	6	13	5	55	6	15	0	0	0	0	1	0	0.833333333333333	0
CHRDL2	NW_008794121.1	597913	625846	1297	1291	26642	25	29	19.3648334624322	22.4632068164214	0.374248847496565	0.471782467488923	11	62	1	1	2	2	0	0	0	0	0	0	0.0909090909090909	0
CHRFAM7A	NW_008795371.1	1613149	1656026	42877	1323	41554	1157	696	874.527588813303	526.077097505669	16.9013042561028	11.0489100322576	5	26	0	0	1	9	0	0	0	0	0	0	0	0
CHRM2	NW_008796213.1	2995142	3013396	1612	1492	16762	473	303	317.024128686327	203.083109919571	6.12687503972774	4.26524367095878	7	17	2	5	4	26	7	52	0	0	0	0	0.285714285714286	1.75
CHRM3	NW_008794117.1	3107340	3309313	2171	1918	200055	78	54	40.667361835245	28.1543274244004	0.78594599468632	0.591309966173866	4	54	1	1	4	7	3	5	0	0	0	0	0.25	0.75
CHRM4	NW_008795128.1	4394384	4396794	1837	1472	938	1685	815	1144.70108695652	553.66847826087	22.1227341486125	11.6283967369163	3	5	0	0	3	7	0	0	1	0	1	0	0	0
CHRM5	NW_008795853.1	987900	989703	1803	1586	217	169	92	106.55737704918	58.0075662042875	2.05935029755241	1.21830123991378	2	62	0	0	3	32	2	6	0	0	0	0	0	0.666666666666667
CHRNA1	NW_008795194.1	2502846	2512552	1714	1362	8344	159	393	116.740088105727	288.546255506608	2.25614351473634	6.06017945345542	8	113	0	0	1	2	1	1	0	0	1	0	0	1
CHRNA10	NW_008794459.1	87383	90742	1450	1450	1909	0	0	0	0	0	0	9	62	11	76	0	0	1	2	0	0	0	0	1.22222222222222	
CHRNA2	NW_008794891.1	37915	43183	1605	1605	3663	16	13	9.96884735202492	8.09968847352025	0.192660042215303	0.170113334447665	8	24	0	0	0	0	0	0	0	0	0	0	0	
CHRNA3	NW_008794743.1	2049372	2057221	1485	1485	6364	343	258	230.976430976431	173.737373737374	4.4638991220605	3.64891119717347	2	8	0	0	1	1	0	0	0	0	0	0	0	0
CHRNA4	NW_008794731.1	903663	927172	1894	1869	21640	1694	456	906.367041198502	243.980738362761	17.5166402146175	5.1241942303806	10	99	4	8	10	38	1	1	0	0	0	0	0.4	0.1
CHRNA5	NW_008794743.1	2026246	2045950	1387	1127	18577	76	59	67.435669920142	52.3513753327418	1.30327595105494	1.09950735141094	2	86	1	2	4	17	2	6	0	0	0	0	0.5	0.5
CHRNB2	NW_008796119.1	21898	27572	1692	1556	4118	2838	1454	1823.90745501285	934.447300771208	35.2492193802331	19.6256864346689	11	41	3	5	6	13	1	2	0	0	0	0	0.272727272727273	0.166666666666667
CHRNB4	NW_008794743.1	2062915	2074941	1615	1464	10562	57	81	38.9344262295082	55.327868852459	0.75245491641338	1.16202101959167	3	17	1	5	4	53	1	1	0	0	0	0	0.333333333333333	0.25
CHRND	NW_008795629.1	5143645	5147756	1601	1539	2572	162	276	105.263157894737	179.337231968811	2.03433794576027	3.76652196199464	11	64	2	2	2	2	1	2	0	0	1	1	0.181818181818182	0.5
CHRNG	NW_008795629.1	5148767	5154214	1811	1521	3926	355	1695	233.399079552926	1114.39842209073	4.51071973838036	23.405101579503	7	23	0	0	4	23	1	1	0	0	0	0	0	0.25
CHST1	NW_008795128.1	4873448	4874707	1259	1259	0	1653	1578	1312.94678316124	1253.37569499603	25.3742858866135	26.323965358481	9	40	0	0	6	7	0	0	0	0	1	1	0	0
